Customer ID,Purchase Frequency,Predicted Segment
AA-10315,11,Loyal Customers
KB-16405,9,Loyal Customers
KB-16240,10,Loyal Customers
KA-16525,11,Loyal Customers
JW-15955,11,Loyal Customers
JS-15880,9,Loyal Customers
JP-16135,13,Loyal Customers
JP-15520,16,Loyal Customers
JP-15460,15,Loyal Customers
JM-15655,12,Loyal Customers
JM-15580,7,Loyal Customers
JM-15535,10,Loyal Customers
JM-15265,13,Loyal Customers
JL-15505,17,Loyal Customers
JK-15640,12,Loyal Customers
JK-15625,12,Loyal Customers
JK-15325,4,Loyal Customers
JJ-15760,3,Loyal Customers
JJ-15445,6,Loyal Customers
JH-15910,9,Loyal Customers
JH-15820,8,Loyal Customers
JG-15805,9,Loyal Customers
JF-15490,15,Loyal Customers
JF-15415,14,Loyal Customers
KC-16255,10,Loyal Customers
KC-16675,7,Loyal Customers
KD-16345,10,Loyal Customers
KD-16615,13,Loyal Customers
MG-17650,14,Loyal Customers
MF-18250,12,Loyal Customers
ME-18010,6,Loyal Customers
MC-18130,11,Loyal Customers
MC-17845,14,Loyal Customers
MC-17425,10,Loyal Customers
MC-17275,13,Loyal Customers
MA-17995,12,Loyal Customers
LW-17125,5,Loyal Customers
LW-16990,11,Loyal Customers
LT-16765,3,Loyal Customers
JF-15355,16,Loyal Customers
LS-17245,12,Loyal Customers
LP-17080,9,Loyal Customers
LM-17065,7,Loyal Customers
LL-16840,12,Loyal Customers
LH-17155,19,Loyal Customers
LD-17005,7,Loyal Customers
LC-16930,14,Loyal Customers
KW-16570,5,Loyal Customers
KW-16435,10,Loyal Customers
KT-16480,13,Loyal Customers
KM-16660,9,Loyal Customers
KH-16360,14,Loyal Customers
LS-17230,6,Loyal Customers
MG-17680,10,Loyal Customers
JF-15295,14,Loyal Customers
JD-16060,6,Loyal Customers
ES-14020,8,Loyal Customers
EN-13780,9,Loyal Customers
EM-14200,4,Loyal Customers
EM-14095,10,Loyal Customers
EM-13825,16,Loyal Customers
EM-13810,7,Loyal Customers
EL-13735,2,Loyal Customers
EK-13795,4,Loyal Customers
EJ-14155,8,Loyal Customers
EH-14005,11,Loyal Customers
EH-13990,8,Loyal Customers
EC-14050,7,Loyal Customers
EB-13840,8,Loyal Customers
DW-13540,9,Loyal Customers
DW-13480,11,Loyal Customers
DS-13030,19,Loyal Customers
DP-13165,4,Loyal Customers
DP-13105,14,Loyal Customers
DO-13645,11,Loyal Customers
DO-13435,13,Loyal Customers
DN-13690,11,Loyal Customers
DM-13525,10,Loyal Customers
DM-13345,13,Loyal Customers
FC-14245,14,Loyal Customers
FC-14335,10,Loyal Customers
FG-14260,11,Loyal Customers
FH-14350,14,Loyal Customers
JC-16105,9,Loyal Customers
JC-15775,16,Loyal Customers
JC-15385,4,Loyal Customers
JB-16000,7,Loyal Customers
IM-15055,4,Loyal Customers
IG-15085,7,Loyal Customers
HR-14770,13,Loyal Customers
HM-14980,7,Loyal Customers
HJ-14875,6,Loyal Customers
HH-15010,6,Loyal Customers
HG-15025,11,Loyal Customers
JE-16165,7,Loyal Customers
HE-14800,11,Loyal Customers
GZ-14470,14,Loyal Customers
GR-14560,5,Loyal Customers
GP-14740,5,Loyal Customers
GM-14695,11,Loyal Customers
GM-14500,13,Loyal Customers
GM-14440,11,Loyal Customers
GD-14590,6,Loyal Customers
GA-14515,14,Loyal Customers
FW-14395,3,Loyal Customers
FP-14320,14,Loyal Customers
FM-14215,15,Loyal Customers
GZ-14545,5,Loyal Customers
MG-17890,13,Loyal Customers
MH-17440,9,Loyal Customers
MH-17455,11,Loyal Customers
SS-20590,9,Loyal Customers
SS-20515,6,Loyal Customers
SR-20740,12,Loyal Customers
SL-20155,9,Loyal Customers
SJ-20500,7,Loyal Customers
SG-20605,13,Loyal Customers
SG-20470,14,Loyal Customers
SG-20080,11,Loyal Customers
SF-20065,9,Loyal Customers
SC-20800,5,Loyal Customers
SC-20695,14,Loyal Customers
SC-20680,8,Loyal Customers
SC-20230,11,Loyal Customers
SB-20185,12,Loyal Customers
RW-19690,15,Loyal Customers
RW-19630,16,Loyal Customers
RS-19870,3,Loyal Customers
RS-19420,9,Loyal Customers
RR-19525,10,Loyal Customers
RP-19855,15,Loyal Customers
RM-19750,2,Loyal Customers
RM-19675,11,Loyal Customers
RM-19375,9,Loyal Customers
SU-20665,18,Loyal Customers
SW-20275,7,Loyal Customers
SW-20455,9,Loyal Customers
SW-20755,8,Loyal Customers
YC-21895,8,Loyal Customers
VP-21730,5,Loyal Customers
VM-21835,8,Loyal Customers
VM-21685,12,Loyal Customers
VG-21805,6,Loyal Customers
VG-21790,8,Loyal Customers
VF-21715,11,Loyal Customers
VB-21745,10,Loyal Customers
TZ-21580,9,Loyal Customers
TW-21025,12,Loyal Customers
TT-21460,14,Loyal Customers
RK-19300,8,Loyal Customers
TT-21265,3,Loyal Customers
TR-21325,7,Loyal Customers
TM-21490,4,Loyal Customers
TH-21550,13,Loyal Customers
TG-21640,10,Loyal Customers
TC-21535,10,Loyal Customers
TC-21145,4,Loyal Customers
TB-21625,15,Loyal Customers
TB-21355,13,Loyal Customers
TB-21280,11,Loyal Customers
TB-21190,4,Loyal Customers
TB-21175,11,Loyal Customers
TS-21430,7,Loyal Customers
RH-19600,11,Loyal Customers
RH-19510,12,Loyal Customers
RH-19495,8,Loyal Customers
NP-18685,7,Loyal Customers
NP-18670,10,Loyal Customers
NL-18310,10,Loyal Customers
NK-18490,11,Loyal Customers
NH-18610,11,Loyal Customers
NG-18430,9,Loyal Customers
NG-18355,16,Loyal Customers
NF-18595,12,Loyal Customers
ND-18460,8,Loyal Customers
NC-18340,17,Loyal Customers
NB-18580,2,Loyal Customers
PB-18805,10,Loyal Customers
MZ-17335,6,Loyal Customers
MW-18220,14,Loyal Customers
MV-18190,11,Loyal Customers
MT-17815,10,Loyal Customers
MS-17530,7,Loyal Customers
MM-18280,12,Loyal Customers
MM-17260,6,Loyal Customers
ML-18265,3,Loyal Customers
ML-17755,13,Loyal Customers
MK-18160,11,Loyal Customers
MH-18025,10,Loyal Customers
MH-17785,11,Loyal Customers
MW-18235,3,Loyal Customers
DL-13495,12,Loyal Customers
PB-19105,5,Loyal Customers
PB-19210,2,Loyal Customers
RF-19840,11,Loyal Customers
RF-19735,14,Loyal Customers
RE-19450,9,Loyal Customers
RE-19405,1,Loyal Customers
RD-19660,5,Loyal Customers
RC-19825,10,Loyal Customers
RB-19705,7,Loyal Customers
RB-19645,7,Loyal Customers
RB-19570,9,Loyal Customers
RA-19885,15,Loyal Customers
PW-19240,12,Loyal Customers
PB-19150,11,Loyal Customers
PW-19030,13,Loyal Customers
PS-18970,13,Loyal Customers
PR-18880,12,Loyal Customers
PO-18865,13,Loyal Customers
PN-18775,13,Loyal Customers
PM-19135,7,Loyal Customers
PM-18940,4,Loyal Customers
PJ-19015,10,Loyal Customers
PJ-18835,13,Loyal Customers
PG-18895,17,Loyal Customers
PF-19225,10,Loyal Customers
PF-19165,10,Loyal Customers
PV-18985,13,Loyal Customers
DL-13330,8,Loyal Customers
JO-15145,13,Loyal Customers
DL-12925,14,Loyal Customers
CA-12310,11,Loyal Customers
CA-11965,10,Loyal Customers
BW-11200,10,Loyal Customers
BW-11065,3,Loyal Customers
BV-11245,14,Loyal Customers
BT-11530,10,Loyal Customers
BT-11485,3,Loyal Customers
BT-11440,7,Loyal Customers
BT-11395,10,Loyal Customers
BS-11800,8,Loyal Customers
BP-11230,6,Loyal Customers
BP-11155,11,Loyal Customers
BP-11050,7,Loyal Customers
BO-11425,2,Loyal Customers
BN-11470,6,Loyal Customers
BG-11740,7,Loyal Customers
BG-11695,8,Loyal Customers
CC-12145,11,Loyal Customers
